ID,Airline,Date_of_Journey,Source,Destination,Route,Arrival_Time,Duration,Total_Stops,Additional_Info, Price_EUR 
1772,British Airways,06-05-2019 06:30,Paris,London,CDG _ WAW _ LHR,06-05-2019 19:50,13h 20m,1 stop,No info, 162.6 
1773,Air France,21-04-2019 17:00,London,Frankfurt,LHR _ FRA,21-04-2019 19:35,2h 35m,non-stop,No info, 61.7 
1774,British Airways,24-04-2019 15:15,London,Frankfurt,LHR _ FRA,24-04-2019 18:10,2h 55m,non-stop,No info, 79.5 
1775,Ryanair,24-06-2019 08:30,Frankfurt,Rome,FRA _ BER _ FCO,24-06-2019 21:00,12h 30m,1 stop,No info, 67.0 
1776,British Airways,21-05-2019 05:30,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,21-05-2019 12:35,7h 5m,2 stops,In-flight meal not included, 171.0 
1777,Wizz Air,18-05-2019 07:25,Frankfurt,Rome,FRA _ BER _ FCO,18-05-2019 13:35,6h 10m,1 stop,No info, 69.3 
1778,Ryanair,27-04-2019 09:35,Paris,London,CDG _ LHR,27-04-2019 12:20,2h 45m,non-stop,No info, 52.8 
1779,Eurowings,18-03-2019 05:50,London,Frankfurt,LHR _ FRA,18-03-2019 08:40,2h 50m,non-stop,No info, 47.1 
1780,Ryanair,21-03-2019 07:35,Frankfurt,Rome,FRA _ BER _ FCO,21-03-2019 22:20,14h 45m,1 stop,No info, 72.1 
1781,Ryanair,24-06-2019 21:50,Frankfurt,Rome,FRA _ BER _ FCO,25-06-2019 03:35,5h 45m,1 stop,No info, 63.5 
1782,easyJet,21-06-2019 08:20,Madrid,Paris,MAD _ CDG,21-06-2019 10:35,2h 15m,non-stop,No check-in baggage included, 39.0 
1783,British Airways,06-03-2019 09:55,Frankfurt,Rome,FRA _ BER _ FCO,06-03-2019 18:50,8h 55m,1 stop,No info, 187.3 
1784,British Airways,09-06-2019 07:05,Zurich,Amsterdam,ZRH _ AMS,09-06-2019 08:30,1h 25m,non-stop,In-flight meal not included, 44.6 
1785,Lufthansa,06-03-2019 06:00,Zurich,Amsterdam,ZRH _ BUD _ VIE _ AMS,07-03-2019 15:15,33h 15m,2 stops,No info, 156.4 
1786,British Airways,01-03-2019 11:40,London,Frankfurt,LHR _ MXP _ FRA,01-03-2019 18:25,6h 45m,1 stop,No info, 295.8 
1787,Lufthansa,15-06-2019 19:45,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,16-06-2019 19:15,23h 30m,2 stops,No info, 106.2 
1788,Ryanair,21-06-2019 06:05,London,Frankfurt,LHR _ FRA,21-06-2019 08:50,2h 45m,non-stop,No info, 43.4 
1789,British Airways,18-05-2019 14:05,Paris,London,CDG _ WAW _ LHR,19-05-2019 16:20,26h 15m,1 stop,In-flight meal not included, 119.3 
1790,British Airways,01-04-2019 21:10,Paris,London,CDG _ WAW _ LHR,02-04-2019 04:40,7h 30m,1 stop,In-flight meal not included, 97.3 
1791,Ryanair,12-06-2019 01:40,Zurich,Amsterdam,ZRH _ AMS,12-06-2019 03:10,1h 30m,non-stop,No info, 30.3 
1792,Lufthansa,21-03-2019 06:50,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,22-03-2019 19:15,36h 25m,2 stops,No info, 118.3 
1793,British Airways,21-05-2019 17:00,Paris,London,CDG _ WAW _ LHR,22-05-2019 21:05,28h 5m,1 stop,No info, 155.7 
1794,British Airways,12-06-2019 08:25,Paris,London,CDG _ WAW _ LHR,12-06-2019 20:45,12h 20m,1 stop,In-flight meal not included, 108.9 
1795,British Airways,21-03-2019 22:00,Frankfurt,Rome,FRA _ BER _ FCO,22-03-2019 04:25,6h 25m,1 stop,No info, 134.7 
1796,British Airways,09-06-2019 19:30,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,10-06-2019 12:35,17h 5m,2 stops,In-flight meal not included, 114.1 
1797,Ryanair,24-05-2019 09:10,Zurich,Amsterdam,ZRH _ AMS,24-05-2019 10:40,1h 30m,non-stop,No info, 63.3 
1798,British Airways,15-06-2019 18:15,Frankfurt,Rome,FRA _ BER _ FCO,16-06-2019 04:25,10h 10m,1 stop,In-flight meal not included, 112.9 
1799,easyJet,06-06-2019 08:35,Paris,London,CDG _ WAW _ LHR,06-06-2019 17:15,8h 40m,1 stop,No info, 73.1 
1800,Multiple carriers Premium,21-03-2019 07:30,Frankfurt,Rome,FRA _ BER _ FCO,21-03-2019 21:00,13h 30m,1 stop,No info, 108.3 
1801,British Airways,24-03-2019 18:55,Paris,London,CDG _ WAW _ LHR,25-03-2019 12:00,17h 5m,1 stop,In-flight meal not included, 122.5 
1802,easyJet,01-06-2019 06:05,Frankfurt,Rome,FRA _ BER _ FCO,01-06-2019 11:20,5h 15m,1 stop,No info, 61.4 
1803,Ryanair,15-05-2019 16:00,Frankfurt,Rome,FRA _ BER _ FCO,15-05-2019 21:00,5h 00m,1 stop,No info, 66.8 
1804,British Airways,12-03-2019 05:45,London,Frankfurt,LHR _ MXP _ FRA,12-03-2019 20:20,14h 35m,1 stop,No info, 152.0 
1805,Lufthansa,06-03-2019 05:00,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,07-03-2019 19:15,38h 15m,2 stops,No info, 113.1 
1806,Lufthansa,24-03-2019 09:50,Paris,London,CDG _ WAW _ LHR,24-03-2019 21:05,11h 15m,1 stop,No info, 85.7 
1807,Multiple carriers,09-03-2019 00:20,Frankfurt,Rome,FRA _ BER _ FCO,09-03-2019 07:40,7h 20m,1 stop,In-flight meal not included, 153.8 
1808,British Airways,01-06-2019 06:45,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,02-06-2019 04:25,21h 40m,2 stops,In-flight meal not included, 120.1 
1809,Ryanair,03-03-2019 20:25,Paris,London,CDG _ LHR,03-03-2019 23:05,2h 40m,non-stop,No info, 66.4 
1810,Ryanair,21-05-2019 05:35,Frankfurt,Rome,FRA _ FCO,21-05-2019 08:50,3h 15m,non-stop,No info, 61.6 
1811,Ryanair,09-03-2019 07:30,Frankfurt,Rome,FRA _ BER _ FCO,09-03-2019 21:00,13h 30m,1 stop,No info, 135.9 
1812,Lufthansa,15-04-2019 05:10,Frankfurt,Rome,FRA _ FCO,15-04-2019 08:00,2h 50m,non-stop,No info, 67.0 
1813,Multiple carriers,15-05-2019 10:35,Frankfurt,Rome,FRA _ BER _ FCO,15-05-2019 19:15,8h 40m,1 stop,No info, 83.3 
1814,British Airways,27-05-2019 21:50,Frankfurt,Rome,FRA _ BER _ FCO,28-05-2019 04:25,6h 35m,1 stop,No info, 176.9 
1815,British Airways,15-06-2019 19:15,Frankfurt,Rome,FRA _ BER _ FCO,16-06-2019 19:00,23h 45m,1 stop,In-flight meal not included, 112.9 
1816,Eurowings,09-06-2019 16:45,Frankfurt,Rome,FRA _ BER _ FCO,09-06-2019 22:25,5h 40m,1 stop,No info, 148.2 
1817,British Airways,27-06-2019 11:10,London,Frankfurt,LHR _ FRA,27-06-2019 14:05,2h 55m,non-stop,No info, 88.2 
1818,British Airways,09-03-2019 18:15,Frankfurt,Rome,FRA _ BER _ FCO,10-03-2019 18:50,24h 35m,1 stop,No info, 179.2 
1819,British Airways,06-06-2019 19:45,Frankfurt,Rome,FRA _ BER _ FCO,07-06-2019 04:25,8h 40m,1 stop,In-flight meal not included, 112.9 
1820,Ryanair,27-06-2019 18:25,London,Frankfurt,LHR _ FRA,27-06-2019 21:20,2h 55m,non-stop,No info, 53.1 
1821,Air France,09-04-2019 09:45,London,Frankfurt,LHR _ FRA,09-04-2019 12:35,2h 50m,non-stop,No info, 59.4 
1822,British Airways,18-05-2019 17:30,Frankfurt,Rome,FRA _ BER _ FCO,19-05-2019 19:00,25h 30m,1 stop,In-flight meal not included, 136.1 
1823,easyJet,06-03-2019 14:10,Zurich,Amsterdam,ZRH _ GVA _ AMS,06-03-2019 22:25,8h 15m,1 stop,No info, 149.1 
1824,British Airways,09-05-2019 08:25,Paris,London,CDG _ WAW _ LHR,09-05-2019 20:45,12h 20m,1 stop,In-flight meal not included, 119.3 
1825,Lufthansa,06-03-2019 09:40,Zurich,Amsterdam,ZRH _ BUD _ VIE _ AMS,06-03-2019 23:45,14h 5m,2 stops,No info, 248.8 
1826,Multiple carriers,27-05-2019 10:35,Frankfurt,Rome,FRA _ BER _ FCO,27-05-2019 19:15,8h 40m,1 stop,No info, 94.9 
1827,Ryanair,24-03-2019 06:00,London,Frankfurt,LHR _ FRA,24-03-2019 08:45,2h 45m,non-stop,No info, 52.6 
1828,Ryanair,21-06-2019 05:35,Frankfurt,Rome,FRA _ FCO,21-06-2019 08:50,3h 15m,non-stop,No info, 55.0 
1829,British Airways,06-03-2019 19:10,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,07-03-2019 19:45,24h 35m,2 stops,No info, 241.5 
1830,British Airways,03-06-2019 11:30,Frankfurt,Rome,FRA _ BER _ FCO,04-06-2019 04:25,16h 55m,1 stop,In-flight meal not included, 127.9 
1831,British Airways,24-05-2019 14:05,Paris,London,CDG _ WAW _ LHR,25-05-2019 04:40,14h 35m,1 stop,No info, 151.0 
1832,Ryanair,03-04-2019 22:10,London,Frankfurt,LHR _ FRA,04-04-2019 01:00,2h 50m,non-stop,No info, 43.4 
1833,British Airways,21-03-2019 08:55,London,Frankfurt,LHR _ MXP _ FRA,21-03-2019 23:00,14h 5m,1 stop,In-flight meal not included, 76.9 
1834,British Airways,06-05-2019 18:55,Paris,London,CDG _ WAW _ LHR,07-05-2019 04:40,9h 45m,1 stop,No info, 153.4 
1835,British Airways,12-06-2019 08:00,Frankfurt,Rome,FRA _ BER _ FCO,12-06-2019 19:00,11h 00m,1 stop,No info, 164.2 
1836,British Airways,27-06-2019 02:15,Frankfurt,Rome,FRA _ BER _ FCO,27-06-2019 12:35,10h 20m,1 stop,No info, 202.1 
1837,Ryanair,03-03-2019 19:35,Madrid,Paris,MAD _ CDG,03-03-2019 21:55,2h 20m,non-stop,No info, 80.2 
1838,Lufthansa,09-03-2019 17:00,London,Frankfurt,LHR _ MXP _ FRA,13-03-2019 16:40,23h 40m,1 stop,No info, 102.2 
1839,British Airways,01-05-2019 20:00,Paris,London,CDG _ WAW _ LHR,02-05-2019 08:15,12h 15m,1 stop,No info, 153.4 
1840,Ryanair,24-03-2019 04:15,Paris,London,CDG _ WAW _ LHR,24-03-2019 09:50,5h 35m,1 stop,No info, 45.7 
1841,British Airways,01-04-2019 20:00,Paris,London,CDG _ WAW _ LHR,02-04-2019 23:35,27h 35m,1 stop,No info, 139.5 
1842,Ryanair,03-06-2019 05:35,Frankfurt,Rome,FRA _ FCO,03-06-2019 08:50,3h 15m,non-stop,No info, 61.6 
1843,Lufthansa,21-05-2019 09:50,Paris,London,CDG _ BRU _ MUC _ LHR,22-05-2019 08:55,23h 5m,2 stops,No info, 164.6 
1844,Multiple carriers,06-06-2019 16:00,Frankfurt,Rome,FRA _ BER _ FCO,07-06-2019 01:30,9h 30m,1 stop,No info, 147.2 
1845,Ryanair,21-03-2019 12:00,Zurich,Amsterdam,ZRH _ AMS,21-03-2019 13:25,1h 25m,non-stop,No info, 36.8 
1846,British Airways,06-06-2019 11:10,London,Frankfurt,LHR _ FRA,06-06-2019 14:05,2h 55m,non-stop,No info, 88.2 
1847,British Airways,06-03-2019 05:45,London,Frankfurt,LHR _ MXP _ FRA,06-03-2019 23:00,17h 15m,1 stop,No info, 184.1 
1848,British Airways,24-03-2019 21:10,Paris,London,CDG _ WAW _ LHR,25-03-2019 19:40,22h 30m,1 stop,In-flight meal not included, 110.3 
1849,Lufthansa,21-04-2019 20:30,Frankfurt,Rome,FRA _ BER _ FCO,22-04-2019 08:15,11h 45m,1 stop,No info, 79.8 
1850,British Airways,15-05-2019 06:00,London,Frankfurt,LHR _ FRA,15-05-2019 08:45,2h 45m,non-stop,In-flight meal not included, 44.3 
1851,Lufthansa,24-06-2019 14:25,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,25-06-2019 19:15,28h 50m,2 stops,No info, 147.2 
1852,British Airways,24-05-2019 23:05,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,26-05-2019 04:25,29h 20m,2 stops,No info, 183.7 
1853,Multiple carriers,24-06-2019 09:00,Frankfurt,Rome,FRA _ BER _ FCO,24-06-2019 21:00,12h 00m,1 stop,No info, 149.5 
1854,British Airways,24-05-2019 02:55,Zurich,Amsterdam,ZRH _ AMS,24-05-2019 04:20,1h 25m,non-stop,No info, 62.5 
1855,British Airways,01-04-2019 06:30,Paris,London,CDG _ WAW _ LHR,02-04-2019 09:20,26h 50m,1 stop,In-flight meal not included, 77.7 
1856,Ryanair,03-06-2019 01:40,Zurich,Amsterdam,ZRH _ AMS,03-06-2019 03:10,1h 30m,non-stop,No info, 30.3 
1857,Air France,01-05-2019 09:45,London,Frankfurt,LHR _ FRA,01-05-2019 12:35,2h 50m,non-stop,No info, 51.4 
1858,Eurowings,21-06-2019 19:55,Paris,London,CDG _ LHR,21-06-2019 22:25,2h 30m,non-stop,No info, 45.2 
1859,Ryanair,12-06-2019 04:55,Frankfurt,Rome,FRA _ BER _ FCO,12-06-2019 21:00,16h 5m,1 stop,No info, 64.8 
1860,British Airways,06-06-2019 17:30,Frankfurt,Rome,FRA _ BER _ FCO,07-06-2019 04:25,10h 55m,1 stop,In-flight meal not included, 112.9 
1861,British Airways,09-05-2019 16:30,Paris,London,CDG _ WAW _ LHR,10-05-2019 08:15,15h 45m,1 stop,No info, 153.4 
1862,Eurowings,27-04-2019 16:45,Frankfurt,Rome,FRA _ BER _ FCO,28-04-2019 07:10,14h 25m,1 stop,No info, 71.0 
1863,Lufthansa,27-06-2019 09:45,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,28-06-2019 09:25,23h 40m,2 stops,No info, 120.7 
1864,Lufthansa,06-03-2019 12:00,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,07-03-2019 07:40,19h 40m,2 stops,No info, 162.2 
1865,Eurowings,06-06-2019 20:45,Frankfurt,Rome,FRA _ BER _ FCO,07-06-2019 07:10,10h 25m,1 stop,No info, 125.5 
1866,easyJet,01-05-2019 06:55,Paris,London,CDG _ LHR,01-05-2019 09:30,2h 35m,non-stop,No check-in baggage included, 42.3 
1867,Lufthansa,03-06-2019 06:50,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,04-06-2019 07:40,24h 50m,2 stops,No info, 147.2 
1868,Multiple carriers,09-05-2019 11:30,Frankfurt,Rome,FRA _ BER _ FCO,10-05-2019 01:30,14h 00m,1 stop,No info, 165.9 
1869,Lufthansa,09-05-2019 09:25,Paris,London,CDG _ WAW _ LHR,09-05-2019 18:30,9h 5m,1 stop,No info, 97.8 
1870,British Airways,09-05-2019 14:05,Paris,London,CDG _ WAW _ LHR,10-05-2019 10:05,20h 00m,1 stop,In-flight meal not included, 85.3 
1871,Lufthansa,09-04-2019 05:45,London,Frankfurt,LHR _ FRA,09-04-2019 08:45,3h 00m,non-stop,No info, 48.9 
1872,British Airways,24-03-2019 19:45,Paris,London,CDG _ WAW _ LHR,25-03-2019 18:10,22h 25m,1 stop,In-flight meal not included, 110.3 
1873,Ryanair,12-04-2019 13:00,London,Frankfurt,LHR _ FRA,12-04-2019 15:50,2h 50m,non-stop,No info, 53.1 
1874,Lufthansa,24-05-2019 09:25,Paris,London,CDG _ WAW _ LHR,24-05-2019 18:30,9h 5m,1 stop,No info, 94.3 
1875,British Airways,12-03-2019 20:35,London,Frankfurt,LHR _ MXP _ FRA,13-03-2019 16:10,19h 35m,1 stop,In-flight meal not included, 122.0 
1876,British Airways,18-05-2019 10:00,Frankfurt,Rome,FRA _ BER _ FCO,19-05-2019 12:35,26h 35m,1 stop,In-flight meal not included, 136.1 
1877,Lufthansa,21-05-2019 09:25,Paris,London,CDG _ BRU _ MUC _ LHR,22-05-2019 05:35,20h 10m,2 stops,No info, 125.8 
1878,Ryanair,15-06-2019 16:55,Zurich,Amsterdam,ZRH _ AMS,15-06-2019 18:25,1h 30m,non-stop,No info, 34.9 
1879,Ryanair,12-05-2019 09:35,Paris,London,CDG _ LHR,12-05-2019 12:20,2h 45m,non-stop,No info, 52.8 
1880,British Airways,27-06-2019 09:40,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,28-06-2019 12:35,26h 55m,2 stops,No info, 143.2 
1881,Multiple carriers,06-03-2019 07:10,Frankfurt,Rome,FRA _ BER _ FCO,06-03-2019 22:20,15h 10m,1 stop,In-flight meal not included, 83.2 
1882,easyJet,27-06-2019 09:00,Paris,London,CDG _ LHR,27-06-2019 11:25,2h 25m,non-stop,No info, 42.6 
1883,Ryanair,21-05-2019 11:55,Frankfurt,Rome,FRA _ BER _ FCO,22-05-2019 00:55,13h 00m,1 stop,No info, 69.1 
1884,Multiple carriers,01-06-2019 08:30,Frankfurt,Rome,FRA _ BER _ FCO,01-06-2019 19:00,10h 30m,1 stop,No info, 123.2 
1885,Air France,24-04-2019 19:30,London,Frankfurt,LHR _ FRA,24-04-2019 22:15,2h 45m,non-stop,No info, 61.7 
1886,Ryanair,09-06-2019 14:20,Frankfurt,Rome,FRA _ FCO,09-06-2019 17:35,3h 15m,non-stop,No info, 61.6 
1887,British Airways,15-06-2019 14:00,Frankfurt,Rome,FRA _ BER _ FCO,16-06-2019 12:35,22h 35m,1 stop,In-flight meal not included, 112.9 
1888,Ryanair,01-03-2019 20:00,London,Frankfurt,LHR _ FRA,01-03-2019 22:55,2h 55m,non-stop,No info, 157.4 
1889,British Airways,01-04-2019 20:00,Paris,London,CDG _ WAW _ LHR,02-04-2019 20:45,24h 45m,1 stop,In-flight meal not included, 77.7 
1890,British Airways,27-06-2019 07:05,Frankfurt,Rome,FRA _ BER _ FCO,27-06-2019 19:00,11h 55m,1 stop,No info, 202.1 
1891,Lufthansa,18-05-2019 20:15,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,19-05-2019 19:15,23h 00m,2 stops,No info, 149.5 
1892,British Airways,01-06-2019 09:40,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,02-06-2019 12:35,26h 55m,2 stops,In-flight meal not included, 114.1 
1893,Multiple carriers,12-06-2019 17:50,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,13-06-2019 01:30,7h 40m,2 stops,No info, 201.0 
1894,Ryanair,27-05-2019 22:10,London,Frankfurt,LHR _ FRA,28-05-2019 01:00,2h 50m,non-stop,No info, 41.2 
1895,Eurowings,06-06-2019 15:10,Paris,London,CDG _ BRU _ MUC _ LHR,06-06-2019 23:30,8h 20m,2 stops,No info, 74.9 
1896,Multiple carriers,21-05-2019 11:40,Frankfurt,Rome,FRA _ BER _ FCO,21-05-2019 21:00,9h 20m,1 stop,No info, 82.3 
1897,Lufthansa,27-05-2019 14:15,Paris,London,CDG _ LHR,27-05-2019 16:45,2h 30m,non-stop,No info, 60.6 
1898,British Airways,03-06-2019 18:15,Frankfurt,Rome,FRA _ BER _ FCO,04-06-2019 04:25,10h 10m,1 stop,In-flight meal not included, 112.9 
1899,Multiple carriers,24-06-2019 07:10,Frankfurt,Rome,FRA _ BER _ FCO,24-06-2019 16:10,9h 00m,1 stop,No info, 74.0 
1900,Multiple carriers,21-03-2019 08:00,Frankfurt,Rome,FRA _ BER _ FCO,21-03-2019 15:30,7h 30m,1 stop,No info, 91.4 
1901,Wizz Air,21-04-2019 05:55,Frankfurt,Rome,FRA _ BER _ FCO,21-04-2019 13:35,7h 40m,1 stop,No info, 67.6 
1902,British Airways,27-05-2019 13:25,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,28-05-2019 12:35,23h 10m,2 stops,No info, 166.4 
1903,British Airways,01-05-2019 06:30,Paris,London,CDG _ WAW _ LHR,01-05-2019 12:00,5h 30m,1 stop,No info, 158.3 
1904,British Airways,06-04-2019 06:00,London,Frankfurt,LHR _ FRA,06-04-2019 08:45,2h 45m,non-stop,In-flight meal not included, 50.0 
1905,British Airways,12-04-2019 11:10,London,Frankfurt,LHR _ FRA,12-04-2019 14:05,2h 55m,non-stop,In-flight meal not included, 57.2 
1906,Ryanair,18-05-2019 09:15,Frankfurt,Rome,FRA _ BER _ FCO,19-05-2019 01:30,16h 15m,1 stop,No info, 82.5 
1907,Wizz Air,01-03-2019 15:45,London,Frankfurt,LHR _ MXP _ FRA,01-03-2019 20:15,4h 30m,1 stop,No info, 135.5 
1908,Lufthansa,15-05-2019 13:00,Frankfurt,Rome,FRA _ BER _ FCO,15-05-2019 19:15,6h 15m,1 stop,No info, 92.1 
1909,British Airways,21-05-2019 16:30,Paris,London,CDG _ WAW _ LHR,21-05-2019 23:35,7h 5m,1 stop,No info, 162.6 
1910,British Airways,24-06-2019 19:50,London,Frankfurt,LHR _ FRA,24-06-2019 22:50,3h 00m,non-stop,No info, 88.2 
1911,Ryanair,12-03-2019 07:55,Madrid,Paris,MAD _ CDG,12-03-2019 10:15,2h 20m,non-stop,No info, 69.3 
1912,British Airways,01-05-2019 08:25,Paris,London,CDG _ WAW _ LHR,02-05-2019 09:20,24h 55m,1 stop,No info, 158.3 
1913,Wizz Air,01-06-2019 07:25,Frankfurt,Rome,FRA _ BER _ FCO,01-06-2019 13:35,6h 10m,1 stop,No info, 70.3 
1914,British Airways,09-06-2019 21:10,Paris,London,CDG _ WAW _ LHR,10-06-2019 10:05,12h 55m,1 stop,No info, 164.3 
1915,British Airways,21-05-2019 08:25,Paris,London,CDG _ WAW _ LHR,21-05-2019 19:50,11h 25m,1 stop,No info, 162.6 
1916,Ryanair,06-03-2019 07:30,Frankfurt,Rome,FRA _ BER _ FCO,06-03-2019 21:00,13h 30m,1 stop,No info, 163.6 
1917,easyJet,06-04-2019 09:30,London,Frankfurt,LHR _ FRA,06-04-2019 12:20,2h 50m,non-stop,No check-in baggage included, 47.5 
1918,British Airways,15-05-2019 17:00,Paris,London,CDG _ WAW _ LHR,16-05-2019 09:45,16h 45m,1 stop,No info, 143.7 
1919,British Airways,01-03-2019 16:55,London,Frankfurt,LHR _ MXP _ FRA,02-03-2019 08:15,15h 20m,1 stop,No info, 295.8 
1920,British Airways,15-03-2019 07:00,London,Frankfurt,LHR _ MXP _ FRA,15-03-2019 13:15,6h 15m,1 stop,In-flight meal not included, 100.5 
1921,Ryanair,03-04-2019 21:15,London,Frankfurt,LHR _ FRA,04-04-2019 00:15,3h 00m,non-stop,No info, 43.4 
1922,Lufthansa,24-06-2019 07:00,Frankfurt,Rome,FRA _ BER _ FCO,24-06-2019 19:15,12h 15m,1 stop,No info, 97.7 
1923,British Airways,24-05-2019 18:55,Paris,London,CDG _ WAW _ LHR,25-05-2019 12:00,17h 5m,1 stop,No info, 160.3 
1924,Ryanair,15-06-2019 09:35,Paris,London,CDG _ LHR,15-06-2019 12:10,2h 35m,non-stop,No info, 62.1 
1925,British Airways,09-06-2019 06:30,Paris,London,CDG _ WAW _ LHR,10-06-2019 04:40,22h 10m,1 stop,In-flight meal not included, 106.3 
1926,British Airways,09-06-2019 14:05,Paris,London,CDG _ WAW _ LHR,09-06-2019 23:35,9h 30m,1 stop,No info, 160.3 
1927,easyJet,09-06-2019 21:10,London,Frankfurt,LHR _ FRA,10-06-2019 00:05,2h 55m,non-stop,No info, 43.7 
1928,British Airways,06-03-2019 09:00,Frankfurt,Rome,FRA _ BER _ FCO,06-03-2019 18:50,9h 50m,1 stop,No info, 187.3 
1929,easyJet,15-05-2019 17:10,Paris,London,CDG _ LHR,15-05-2019 19:40,2h 30m,non-stop,No check-in baggage included, 42.3 
1930,British Airways,27-05-2019 19:45,Frankfurt,Rome,FRA _ BER _ FCO,28-05-2019 19:00,23h 15m,1 stop,In-flight meal not included, 141.9 
1931,British Airways,06-06-2019 14:35,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,07-06-2019 04:25,13h 50m,2 stops,No info, 147.1 
1932,British Airways,15-06-2019 21:25,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,16-06-2019 12:35,15h 10m,2 stops,In-flight meal not included, 109.0 
1933,Multiple carriers,15-06-2019 08:00,Frankfurt,Rome,FRA _ BER _ FCO,15-06-2019 21:00,13h 00m,1 stop,No info, 149.5 
1934,Multiple carriers,24-06-2019 06:00,Frankfurt,Rome,FRA _ BER _ FCO,24-06-2019 21:00,15h 00m,1 stop,No info, 85.1 
1935,Multiple carriers,21-05-2019 06:00,Frankfurt,Rome,FRA _ BER _ FCO,21-05-2019 12:35,6h 35m,1 stop,No info, 107.7 
1936,British Airways,06-03-2019 22:50,London,Frankfurt,LHR _ MXP _ FRA,07-03-2019 21:20,22h 30m,1 stop,No info, 192.2 
1937,British Airways,09-03-2019 13:45,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,10-03-2019 04:25,14h 40m,2 stops,In-flight meal not included, 166.4 
1938,British Airways,01-05-2019 09:35,Paris,London,CDG _ WAW _ LHR,02-05-2019 14:25,28h 50m,1 stop,No info, 126.1 
1939,Lufthansa,12-06-2019 14:35,Paris,London,CDG _ WAW _ LHR,13-06-2019 14:35,24h 00m,1 stop,No info, 71.8 
1940,Multiple carriers,27-06-2019 07:30,Frankfurt,Rome,FRA _ BER _ FCO,27-06-2019 19:15,11h 45m,1 stop,No info, 90.9 
1941,Ryanair,06-03-2019 06:40,Frankfurt,Rome,FRA _ BER _ FCO,06-03-2019 22:20,15h 40m,1 stop,No info, 70.9 
1942,British Airways,12-06-2019 22:50,Frankfurt,Rome,FRA _ BER _ FCO,13-06-2019 12:35,13h 45m,1 stop,In-flight meal not included, 112.9 
1943,British Airways,01-03-2019 07:10,Zurich,Amsterdam,ZRH _ AMS,01-03-2019 08:35,1h 25m,non-stop,No info, 192.5 
1944,Lufthansa,24-05-2019 06:10,London,Frankfurt,LHR _ FRA,24-05-2019 08:55,2h 45m,non-stop,No info, 91.0 
1945,Lufthansa,21-03-2019 18:30,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,22-03-2019 19:15,24h 45m,2 stops,No info, 117.7 
1946,Multiple carriers,15-06-2019 10:00,Frankfurt,Rome,FRA _ BER _ FCO,16-06-2019 01:30,15h 30m,1 stop,No info, 93.6 
1947,Ryanair,15-03-2019 20:05,Zurich,Amsterdam,ZRH _ AMS,15-03-2019 21:35,1h 30m,non-stop,No info, 30.3 
1948,Ryanair,18-05-2019 21:20,Zurich,Amsterdam,ZRH _ AMS,18-05-2019 22:50,1h 30m,non-stop,No info, 24.5 
1949,Multiple carriers,27-06-2019 17:50,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,28-06-2019 01:30,7h 40m,2 stops,No info, 201.0 
1950,easyJet,21-04-2019 08:45,Frankfurt,Rome,FRA _ BER _ FCO,21-04-2019 13:15,4h 30m,1 stop,No check-in baggage included, 69.9 
1951,British Airways,15-05-2019 14:05,Paris,London,CDG _ WAW _ LHR,15-05-2019 20:45,6h 40m,1 stop,No info, 162.6 
1952,British Airways,27-05-2019 09:40,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,28-05-2019 12:35,26h 55m,2 stops,In-flight meal not included, 143.3 
1953,Wizz Air,01-05-2019 11:40,London,Frankfurt,LHR _ FRA,01-05-2019 14:30,2h 50m,non-stop,No info, 47.7 
1954,Lufthansa,12-06-2019 17:30,Paris,London,CDG _ BRU _ MUC _ LHR,13-06-2019 13:45,20h 15m,2 stops,No info, 134.5 
1955,British Airways,24-05-2019 16:30,Paris,London,CDG _ WAW _ LHR,25-05-2019 18:15,25h 45m,1 stop,In-flight meal not included, 119.3 
1956,Ryanair,15-04-2019 09:35,Paris,London,CDG _ LHR,15-04-2019 12:20,2h 45m,non-stop,No info, 45.9 
1957,Lufthansa,01-03-2019 17:00,London,Frankfurt,LHR _ BRU _ MUC _ FRA,02-03-2019 22:55,29h 55m,2 stops,No info, 163.8 
